frame_no,timestamp_s,red_absolute_x_px,red_absolute_y_px,red_relative_X_mm,red_relative_Y_mm,white_absolute_X_px,white_absolute_Y_px,white_relative_X_mm,white_relative_Y_mm
501,5.9058,171,771,-253.9267,-170.6976,338,644,109.9476,85.3403
502,5.9225,172,771,-251.3089,-170.6976,340,644,115.1832,85.3403
503,5.9392,171,772,-253.9267,-173.3154,338,644,109.9476,85.3403
504,5.9559,171,772,-253.9267,-173.3154,338,644,109.9476,85.3403
505,5.9726,171,772,-253.9267,-173.3154,338,644,109.9476,85.3403
506,5.9893,170,772,-256.5445,-173.3154,338,644,109.9476,85.3403
507,6.006,169,772,-259.1623,-173.3154,338,644,109.9476,85.3403
508,6.0226,169,773,-259.1623,-175.9332,338,644,109.9476,85.3403
509,6.0393,169,773,-259.1623,-175.9332,338,644,109.9476,85.3403
510,6.056,168,773,-261.7801,-175.9332,339,644,112.5654,85.3403
511,6.0727,168,773,-261.7801,-175.9332,339,644,112.5654,85.3403
512,6.0894,167,773,-264.3979,-175.9332,339,640,112.5654,95.8115
513,6.1061,167,774,-264.3979,-178.551,339,643,112.5654,87.9581
514,6.1227,167,774,-264.3979,-178.551,339,643,112.5654,87.9581
515,6.1394,167,774,-264.3979,-178.551,339,643,112.5654,87.9581
516,6.1561,166,774,-267.0157,-178.551,339,640,112.5654,95.8115
517,6.1728,165,774,-269.6335,-178.551,338,644,109.9476,85.3403
518,6.1895,165,774,-269.6335,-178.551,339,643,112.5654,87.9581
519,6.2061,165,775,-269.6335,-181.1688,341,643,117.801,87.9581
520,6.2228,165,775,-269.6335,-181.1688,339,642,112.5654,90.5759
521,6.2395,163,775,-274.8691,-181.1688,340,642,115.1832,90.5759
522,6.2562,164,775,-272.2513,-181.1688,340,642,115.1832,90.5759
523,6.2729,163,775,-274.8691,-181.1688,341,642,117.801,90.5759
524,6.2896,163,775,-274.8691,-181.1688,341,642,117.801,90.5759
525,6.3063,162,775,-277.4869,-181.1688,341,642,117.801,90.5759
526,6.3229,162,776,-277.4869,-183.7866,341,643,117.801,87.9581
